FCH4_weekly,GPP,PA,TS,TA,P,WS,SWC
,0.80209375,101579.5078,280.3999634,278.1200256,1.447945018,4.189536572,0.663209558
,1.081846154,100940.0234,284.6379089,283.817688,2.258104738,5.599285126,0.582053781
,1.397115385,100947.3203,283.348114,283.5208435,1.532490598,5.29844141,0.595147789
,1.812120192,100817.125,284.3114929,283.7789917,8.319117129,4.906760693,0.625186503
,2.638478365,101451.0625,286.134491,285.7435608,1.742623397,3.409538031,0.625600636
,3.243557692,100922.0703,289.9085083,289.8256531,0.766655605,4.52307272,0.505486667
,2.407461538,100221.3359,288.0031128,286.0293274,5.413377192,4.201917171,0.538323224
,3.148384615,100935.1797,285.5061646,284.7597046,2.012676327,4.180628777,0.580334663
,3.390173077,100581.1641,286.3904114,286.0572815,1.974918181,5.005658627,0.557944655
72.51313519,3.542105769,100773.8125,288.1539307,288.0855713,6.322036497,4.663455486,0.610197186
111.8209658,3.394492788,101269.25,290.9968872,291.4447632,2.002826426,4.411627769,0.53088665
92.39884945,2.697399038,101344.1641,287.3742981,286.8572083,1.196770929,5.746094704,0.450265974
56.28038033,2.176927885,100100.7109,284.682312,283.737854,7.811843418,6.845687866,0.543543994
38.57578774,1.7435,100260.5078,286.3531799,287.2927551,6.096307654,5.724447727,0.632527232
33.51625721,1.436576923,101015.0078,282.2787781,282.1882019,0.779788999,5.172034264,0.6014781
30.33240328,1.185745192,100931.5234,282.8021851,282.6324158,3.31122987,5.226047516,0.616636932
20.93597456,0.920680288,101238.0703,280.6286011,280.24646,0.777326466,6.174014568,0.591819823
15.86993989,0.778567308,101937.3594,277.5838013,277.0983276,1.504582237,6.859583378,0.558245242
15.80311306,0.65353125,99890.8125,277.7085571,277.7087097,2.152217552,5.126903057,0.605051637
10.97835009,0.493350962,101009.9141,274.0038452,272.7653198,2.210496459,6.552842617,0.632811844
6.219578315,0.519432692,100549.0469,273.1757202,271.4897156,5.900129676,6.988839626,0.629225075
0.121269986,0.546019231,100628.3125,272.8635864,267.8312683,3.170046955,6.954934597,0.636087298
-3.562826712,0.538497596,102099.4141,272.3526001,260.2457581,2.954989672,5.667574883,0.61902231
-1.813870786,0.566774038,102432.7266,271.8591003,256.9727783,0.724793295,5.028924465,0.611624897
-3.060067428,0.573853365,100668.4844,271.7000427,257.4888611,1.394591061,5.439583778,0.60665971
-3.82360505,0.537413462,101361.2109,271.7547302,256.5369263,1.498836325,5.613228798,0.602821469
2.65603533,0.536079327,101181.7734,271.0699158,243.3505096,0.271694851,5.467937469,0.599696517
6.323209992,0.575879808,102114.4609,271.2074585,262.8768005,0.517123204,3.698478222,0.597332835
-1.108547856,0.531800481,103300.1875,271.0250549,250.063385,2.281908644,8.474908829,0.595175326
-1.279441749,0.559346154,101657.5703,270.9922791,250.0662537,0.341157662,5.802567005,0.593224525
2.092588403,0.564608173,101271.2891,271.0476074,253.6427155,0.865868933,4.587322712,0.591463268
2.317005425,0.583903846,101733.2109,271.0703735,255.1213226,1.136755338,3.947907209,0.589872003
1.590403324,0.58840625,101326.4219,271.0267639,258.2389526,0.311519339,4.223872185,0.588401675
1.199483234,0.598115385,101373.4609,270.8493958,244.2457123,0.682053156,5.178966999,0.587057412
0.270214608,0.565925481,101425.5859,270.406311,240.3081055,0.146085164,5.897192478,0.586038053
1.717292712,0.574278846,101163.6016,270.3880615,247.2098846,1.260589226,4.202700615,0.58545357
0.877619604,0.586961538,100990.8672,270.5301819,244.2706451,0.922948588,4.697345257,0.584858298
1.081136807,0.570394231,101530.9297,270.4125061,241.105484,0.055144737,6.50184679,0.584177911
0.726930731,0.539252404,100837.8203,270.5137634,248.049881,1.395064988,4.902235508,0.583544075
,0.556716346,103544.2031,270.6520691,251.6740265,0.576601014,3.095866442,0.582791865
0.299754911,0.665894231,102525.4609,270.6698608,253.0108337,0.254439685,3.835062504,0.581911862
1.232685036,0.728961538,102021.8516,270.6631165,254.0070496,0.94133016,4.313302994,0.581041873
,0.710199519,101617.9531,270.5999451,252.7559052,0.695597497,5.76501894,0.580236971
,1.132076923,102154.0469,270.5979309,259.1955872,0.140280448,4.939228535,0.579543233
,1.294125,101020.6172,270.9578552,267.6783142,1.396032399,4.548587322,0.684266269
,1.432961538,102941.3125,270.8555908,263.4995728,0.16253184,4.282167435,0.649916053
2.76187512,2.048473558,102301.8281,271.0470581,267.6890259,0.298942497,3.87691164,0.641289592
4.640137288,2.663240385,102022.6094,271.4493713,272.5126343,0.174141212,3.831953764,0.744165838
36.86722005,2.162298077,101873.0547,279.2461853,282.6100464,1.163844019,3.113550901,0.707176387
31.42619956,2.860346154,101759.0469,280.0530396,278.0875549,1.813003793,5.55261898,0.628359258
49.26973473,3.036995192,101929.7656,279.9369202,279.1136169,3.385112388,5.36042738,0.63534832
70.42738507,3.118610577,101419.7031,284.5444031,282.8074646,1.138690277,5.624703884,0.570216298
71.95090909,3.024771635,101688.6875,285.2479858,284.8555298,0.707206957,6.093060493,0.51790446
55.8831752,2.634826923,101121.6719,284.6676941,283.5592651,2.169026062,6.284729004,0.487635314
46.97131627,2.306129808,100922.2734,285.8085632,284.1724854,4.828549922,4.543885708,0.532665014
79.8641555,2.470475962,100802.4531,291.3914795,292.1457214,0.796212466,4.309427261,0.427886784
43.46313369,2.886475962,100538.0391,285.3721313,282.9762878,7.99598638,4.980425358,0.575798571
32.75183791,2.125596154,100033.9609,284.1574402,282.3434448,13.2231256,5.916512012,0.657340944
65.23538812,1.665228365,101007.2734,288.3752747,287.7322693,2.764975885,3.97170496,0.650431097
67.47956162,0.399865385,101144.2734,287.6022339,286.6471252,0.667541346,4.712806702,0.569500804
75.66840203,0.621334135,101224.2344,291.8345642,290.7285461,3.779832507,3.412564516,0.523774743
68.88891366,0.833298077,101113.5156,287.6238098,286.2197266,3.070691135,4.370772839,0.583068192
68.84694325,0.420288462,100257.8594,289.7322083,289.8394775,5.275511649,4.524073601,0.572928905
66.42797434,0,101253.3516,287.7820435,287.7479858,0.283463247,4.990085602,0.520645499
56.12392752,0,100595.5625,287.5281372,287.2626343,2.705962164,4.239899158,0.522673488
43.4537339,0,100903.0156,284.3434753,283.2896118,1.482135616,5.301261902,0.486616641
34.88793261,0,101617.3828,284.3251953,283.6172791,0.506944489,4.996094704,0.475690097
33.52273445,0.112629808,100949.3672,285.7740173,285.9019165,1.834287657,4.7710886,0.474150568
24.0787851,0.258538462,101374.6719,286.7204285,286.3711548,6.306815427,5.806847572,0.506708205
20.58661785,0.231528846,101195.2422,278.8016968,277.9673462,2.473772969,4.165326595,0.600425303
18.38877768,0.222620192,102033.7734,277.7599182,277.0291138,0.331835792,3.201060057,0.581261337
17.1255792,0.347009615,101091.2109,277.9393005,277.7124023,0.385045685,4.258891582,0.565873027
8.728335697,0.316367788,101153.9375,272.4184875,270.0182495,0.362794206,5.504338741,0.562653601
5.727702163,0.398903846,100898.1406,270.1835327,266.68927,1.093220082,7.886363029,0.562515855
